Activity ID,Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Speed,RunCadence
6281127122,2021-02-16T13:13:15.000Z,20.723799113184214,-103.29258690588176,1545.800048828125,0.09000000357627869,88,1.0260000228881836,51
6281127122,2021-02-16T13:13:16.000Z,20.72379358112812,-103.29258053563535,1547.0,0.9700000286102295,89,0.42899999022483826,52
6281127122,2021-02-16T13:13:17.000Z,20.723779750987887,-103.29256226308644,1548.5999755859375,3.4100000858306885,92,0.47600001096725464,75
6281127122,2021-02-16T13:13:18.000Z,20.72376231662929,-103.29254030250013,1548.5999755859375,6.400000095367432,95,0.47600001096725464,84
6281127122,2021-02-16T13:13:19.000Z,20.723744044080377,-103.29251457005739,1547.800048828125,9.760000228881836,99,3.1630001068115234,84
6281127122,2021-02-16T13:13:20.000Z,20.723735662177205,-103.29248422756791,1548.0,12.949999809265137,103,3.302999973297119,84
6281127122,2021-02-16T13:13:21.000Z,20.723719149827957,-103.29245740547776,1548.0,16.280000686645508,103,3.302999973297119,84
6281127122,2021-02-16T13:13:22.000Z,20.723701380193233,-103.29243326559663,1548.0,19.389999389648438,106,3.302999973297119,84
6281127122,2021-02-16T13:13:23.000Z,20.723675563931465,-103.2924189325422,1548.0,22.59000015258789,109,3.4519999027252197,84
6281127122,2021-02-16T13:13:24.000Z,20.723647316917777,-103.29241507686675,1548.199951171875,25.729999542236328,112,3.4519999027252197,84
6281127122,2021-02-16T13:13:26.000Z,20.72358646430075,-103.29242756590247,1548.5999755859375,32.59000015258789,117,3.378000020980835,85
6281127122,2021-02-16T13:13:27.000Z,20.723558887839317,-103.29243435524404,1548.800048828125,35.72999954223633,119,3.3589999675750732,84
6281127122,2021-02-16T13:13:29.000Z,20.72350138798356,-103.29245296306908,1549.5999755859375,42.380001068115234,122,3.2660000324249268,84
6281127122,2021-02-16T13:13:30.000Z,20.723472889512777,-103.29246000386775,1549.800048828125,45.619998931884766,122,3.25600004196167,84
6281127122,2021-02-16T13:13:31.000Z,20.7234475761652,-103.29247115179896,1549.800048828125,48.650001525878906,119,3.25600004196167,84
6281127122,2021-02-16T13:13:34.000Z,20.723367361351848,-103.29249361529946,1550.4000244140625,57.810001373291016,120,3.134999990463257,84
6281127122,2021-02-16T13:13:36.000Z,20.723310029134154,-103.29250769689679,1550.4000244140625,64.31999969482422,129,3.1440000534057617,84
6281127122,2021-02-16T13:13:38.000Z,20.723284212872386,-103.29251607879996,1550.800048828125,67.31999969482422,131,3.171999931335449,84
6281127122,2021-02-16T13:13:42.000Z,20.723173655569553,-103.29254952259362,1551.199951171875,82.63999938964844,134,3.1630001068115234,83
6281127122,2021-02-16T13:13:45.000Z,20.723095703870058,-103.29256754368544,1551.4000244140625,88.87000274658203,134,3.059999942779541,83
6281127122,2021-02-16T13:13:48.000Z,20.72298447601497,-103.29260492697358,1551.800048828125,101.77999877929688,135,3.0510001182556152,83
6281127122,2021-02-16T13:13:49.000Z,20.72298447601497,-103.29260492697358,1552.0,101.77999877929688,135,3.0320000648498535,83
6281127122,2021-02-16T13:13:54.000Z,20.72282563894987,-103.29265890643,1553.199951171875,120.23999786376953,137,3.0230000019073486,84
6281127122,2021-02-16T13:13:57.000Z,20.72277031838894,-103.29267508350313,1553.5999755859375,126.5999984741211,139,3.0510001182556152,84
6281127122,2021-02-16T13:14:01.000Z,20.722634866833687,-103.29272755421698,1553.800048828125,142.5500030517578,142,3.0789999961853027,84
6281127122,2021-02-16T13:14:02.000Z,20.722634866833687,-103.29272755421698,1553.800048828125,142.5500030517578,143,3.0789999961853027,84
6281127122,2021-02-16T13:14:06.000Z,20.722528249025345,-103.29277826473117,1554.199951171875,155.47000122070312,147,3.0880000591278076,84
6281127122,2021-02-16T13:14:07.000Z,20.722474604845047,-103.29280190169811,1554.199951171875,161.8800048828125,147,3.0980000495910645,85
6281127122,2021-02-16T13:14:08.000Z,20.72244736365974,-103.29281405545771,1554.4000244140625,165.16000366210938,147,3.1070001125335693,84
6281127122,2021-02-16T13:14:09.000Z,20.72244736365974,-103.29281405545771,1554.5999755859375,165.16000366210938,148,3.1070001125335693,84
6281127122,2021-02-16T13:14:14.000Z,20.722319539636374,-103.29287314787507,1555.199951171875,183.97000122070312,151,3.0980000495910645,85
6281127122,2021-02-16T13:14:15.000Z,20.722264302894473,-103.2929012272507,1555.4000244140625,187.38999938964844,151,3.0980000495910645,85
6281127122,2021-02-16T13:14:20.000Z,20.722127174958587,-103.29295361414552,1556.4000244140625,203.52000427246094,152,3.125999927520752,85
6281127122,2021-02-16T13:14:22.000Z,20.722103705629706,-103.2929649297148,1556.199951171875,209.5399932861328,155,3.125999927520752,85
6281127122,2021-02-16T13:14:26.000Z,20.721968337893486,-103.29300868324935,1557.0,222.0399932861328,156,3.115999937057495,84
6281127122,2021-02-16T13:14:30.000Z,20.72187814861536,-103.29304849728942,1557.4000244140625,232.86000061035156,155,3.069999933242798,85
6281127122,2021-02-16T13:14:32.000Z,20.72183364070952,-103.29307322390378,1558.0,238.39999389648438,154,3.0510001182556152,84
6281127122,2021-02-16T13:14:37.000Z,20.72173196822405,-103.293118737638,1558.5999755859375,250.5399932861328,153,3.0420000553131104,84
6281127122,2021-02-16T13:14:40.000Z,20.721652759239078,-103.29314589500427,1558.199951171875,259.7200012207031,152,3.0510001182556152,84
6281127122,2021-02-16T13:14:46.000Z,20.721500627696514,-103.2932104356587,1558.800048828125,277.8500061035156,154,3.0510001182556152,83
